,tokenID,name,image,animation_url,pot,pet,bark,leaves,fruit,numberOfFruit,groundCover,background
22,1223,Bonsai #1223,https://ipfs.io/ipfs/QmaGCEPB6Qdb5AY5xvMj4dHAqT99xLDNARsaYAP96eLWRF,https://ipfs.io/ipfs/QmegHFu1aCnXHa9FtDw94KV763SsM6TMYXTCmr3AEtuD9q,Modern White,Mantis,Cedar,Yakisugi Maple,Lemon,14,rock,day
23,1224,Bonsai #1224,https://ipfs.io/ipfs/QmQCyGiy1f9LkYpuy3HgEbLFfhT766viMc8hqqT2SMBtyi,https://ipfs.io/ipfs/QmWkFz4bDENMzr6F82tZWHnrgUAdz5ZwxAvRci3JSrJtpB,Red Terra Cotta,Mantis,Yakisugi,Yakisugi Maple,Old Seed,13,rock,night
24,1225,Bonsai #1225,https://ipfs.io/ipfs/QmP8cmu2eAxmeYg5jFm5rZyrpEZ3HyXHDPdv4MoHsio9gS,https://ipfs.io/ipfs/QmVENjMVNp5Dg936vCBFLV5LBbuMAb5mCfKjP7cTLaqHCA,Red Terra Cotta,None,Golden,Winter Elm,Young Seed,15,None,night
25,1226,Bonsai #1226,https://ipfs.io/ipfs/QmR421nDtLU6zKs1VgSE22LKZVMo9LKoiQU1LBF1gyqLA8,https://ipfs.io/ipfs/QmaszRVjKvzZ9wLqtmAYMFtME8ER3Q9HtDCTbfZhbRL5hv,Elder Realm,Magpie,Yakisugi,Yakisugi Maple,None,0,None,Space
26,1227,Bonsai #1227,https://ipfs.io/ipfs/QmP875ayCazyuWcRRiznQ7YABiYzgLoZJXgS7GVF1c7zfZ,https://ipfs.io/ipfs/Qmab6t13WdMz8qyx3R5EGvseqkYWCPdV5jBWrv9oWhzYmi,Blue Porcelain,Golden Mantis,Elm,Fall Simple,None,0,hydrangea,day
27,1228,Bonsai #1228,https://ipfs.io/ipfs/QmdVvf3BAHe1jbW7EypJM1iqcs4t3W16MEeAAKDURSfkAU,https://ipfs.io/ipfs/QmSex5xSD2KjC4dJyvC2Eubobkm4Wm39o6E7wsNwgGGv6E,Modern White,Robin,Elm,Yakisugi Maple,Persimmon,12,rock,day
28,1229,Bonsai #1229,https://ipfs.io/ipfs/QmYiSjnsQYSfcaYJVmet3r5FucwinhD9EnpPEBaofU51Dc,https://ipfs.io/ipfs/QmeChDm9h8NJ4iZ218tQc9kWoSREcQ7vy9zy5e3wAg55tD,Green Plastic,Bamboo,Elm,Momo Maple,None,0,rock,night
29,1230,Bonsai #1230,https://ipfs.io/ipfs/QmYcpmPJKgy6YWjXsTZvzPS4QkxhU5E5qGL8maoHX3RUEN,https://ipfs.io/ipfs/QmXhyccJuTC1zSfvbRt6zaaiEKCYpCkVWyHV2EmrJKyUpG,White Porcelain,Golden Mantis,Birch,Summer Elm,Young Seed,11,None,night
30,1231,Bonsai #1231,https://ipfs.io/ipfs/Qma9v5Br1XU1dChTTxdwHHv3WFMz5CfRnVNjMEnCZPyr4i,https://ipfs.io/ipfs/QmeY7rw5AQw4K4opdGVXfQkDsfuruAL1a59Yyah9Wzn4mV,Red Plastic,Mantis,Golden,Yakisugi Maple,Old Seed,14,None,night
31,1232,Bonsai #1232,https://ipfs.io/ipfs/QmVnxNAduPP3FMvWPn2cDnjdeLdeVaZ7mkZmwskDxhQU35,https://ipfs.io/ipfs/QmPEPet7Qf14DrgqmfMvTs5PrcgT77Eub313F9DDnGsQkQ,Modern White,Bamboo,Cedar,Yakisugi Maple,None,0,None,night
